resistive Lecture = 914	percent = 13	reference Lecture = 428	percent = 50
resistive Lecture = 922	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 923	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 917	percent = 13	reference Lecture = 429	percent = 49
resistive Lecture = 922	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 915	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 915	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 921	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 915	percent = 13	reference Lecture = 429	percent = 49
resistive Lecture = 918	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 915	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 918	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 924	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 923	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 916	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 924	percent = 12	reference Lecture = 429	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 923	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 923	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 918	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 917	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 915	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 922	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 922	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 923	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 915	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 921	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 915	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 923	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 923	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 923	percent = 12	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 430	percent = 49
resistive Lecture = 914	percent = 13	reference Lecture = 431	percent = 48
resistive Lecture = 923	percent = 12	reference Lecture = 431	percent = 48
resistive Lecture = 914	percent = 13	reference Lecture = 431	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 431	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 431	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 914	percent = 13	reference Lecture = 431	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 431	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 431	percent = 48
resistive Lecture = 914	percent = 13	reference Lecture = 431	percent = 48
resistive Lecture = 918	percent = 13	reference Lecture = 431	percent = 48
resistive Lecture = 917	percent = 13	reference Lecture = 431	percent = 48
resistive Lecture = 923	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 914	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 431	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 919	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 914	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 912	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 912	percent = 14	reference Lecture = 433	percent = 48
resistive Lecture = 922	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 916	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 913	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 915	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 912	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 914	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 912	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 911	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 912	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 912	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 921	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 912	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 911	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 918	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 919	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 914	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 911	percent = 14	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 917	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 920	percent = 12	reference Lecture = 432	percent = 48
resistive Lecture = 919	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 918	percent = 13	reference Lecture = 432	percent = 48
resistive Lecture = 919	percent = 13	reference Lecture = 432	percent = 48
